S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
189,IA/MH/MIN/565579/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/268454/2025","Wanoja Limestone Block (area 313 Ha.) in Villages- Wanoja, Zutting and Naranda, Taluka-Korpana, District-Chandrapur, Maharashtra of Dalmia Cement (Bharat) Ltd.",MAHARASHTRA,DALMIA CEMENT (BHARAT) LIMITED,Category: A Sector: Non-Coal Mining Date of Submission: 20/01/2026,MOEFCC,Under Examination,"Dalmia Cement (Bharat) Limited (DCBL) has secured the “Wanoja Limestone Block (Area: 313 ha)” through e-auction conducted by Govt. of Maharashtra. The letter of Intent for Proposed Limestone Block was issued by Industry, Energy, Labour Mining Department, Government of Maharashtra vide letter No. MNG-1024/C.R.83/Ind-9(A), dated 01.04.2025 for a period of 50 years. The mine will be developed as a mechanised opencast method using HEMM including deep hole drilling and blasting. The proposed peak pro"
190,SIA/MH/MIN/566789/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273392/2026,Environmental clearance for proposed river bed sand mining having leases area 2.10 Ha. Reguntha Mal sand ghat on Pranhita river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 2.10 Ha. Reguntha Mal sand ghat on Pranhita river.
191,SIA/MH/MIN/566808/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273409/2026,Environmental clearance for proposed river bed sand mining having leases area 2.5 Ha. Chintarevala Ghat-2 sand ghat on Godavari river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 2.5 Ha. Chintarevala Ghat-2 sand ghat on Godavari river.
192,SIA/MH/MIN/563391/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270464/2025,"Environmental Clearance for the Ghodeshwar Tamdardi Sand Spot 3 over Bhima river located at Gut no. Gut No. 98,97,96 & 94 Part of Ghodeshwar Village Taluka- Mohol & Gut No. 46 to 51 Part of Tamdardi Village Taluka-Mangalwedha, District: Solapur,",MAHARASHTRA,DIVYA VERMA,Category: B2 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Proposal pulled back (withdrawn),"Environmental Clearance for the Ghodeshwar Tamdardi Sand Spot 3 over Bhima river located at Gut no. Gut No. 98,97,96 & 94 Part of Ghodeshwar Village Taluka- Mohol & Gut No. 46 to 51 Part of Tamdardi Village Taluka-Mangalwedha, District: Solapur,"
193,SIA/MH/MIN/567683/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/274260/2026,"Application of Transfer of Environmental Clearance for Proposal of Umbarkhed Sand Ghat Tq. Tiosa Dist. Amravati, Nearest Gut no 51 and 52, Area-1.50 Ha from District Mining Officer, Amaravati to Mr. Akshay Prakash Patmase",MAHARASHTRA,akshay patmase,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Referred to SEIAA,Transfer of Environmental Clearance for Proposal of Umbarkhed Sand Ghat
194,SIA/MH/MIN/565849/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272566/2026,"Transfer of Environmental Clearance Sukli de Sand Ghat over an extent of 2.0 ha. At Wainganga River Bed Adjoining Gut No. 451, 450, 446, Village Sukli de, Tehsil Tumsar, District Bhandara, Maharashtra. by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Sukli de Sand Ghat over an extent of 2.0 ha. At Wainganga River Bed Adjoining Gut No. 451, 450, 446, Village Sukli de, Tehsil Tumsar, District Bhandara, Maharashtra. by M/s. Anoj kumar Agarwala"
195,SIA/MH/INFRA2/566874/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273030/2026",Residential cum Commercial Project by RM Group Promoters and Builders,MAHARASHTRA,RM GROUP PROMOTERS AND BUILDERS,Category: B2 Sector: INFRA-2 Date of Submission: 27/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,Two Residential Wings with Commercial shops & Services
196,SIA/MH/INFRA2/564855/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271725/2026","Proposed Expansion of Redevelopment of Maitri Park on Land Bearing C.T.S No. 1773/A, 1773/B, 1773/C, 1790/A/1, 1790/A/2, 1790/A/3, 1813 & 1815 of Village Chembur and C.T.S No. 131/A, of Village Wadhavli, By M/s Shoden Developers Pvt. Ltd.",MAHARASHTRA,SHODEN DEVELOPERS PRIVATE LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 10/01/2026,SEIAA,Standard ToR Granted,"The project has received earlier EC dated 13.09.2025, Now PP has proposed minor expansion by adding 1 floor in 3 towers, and change in the plan of rest the towers by increasing floor to floor height."
197,SIA/MH/INFRA2/567066/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/263824/2025","Proposed Residential cum Commercial building on Plot No. 36, 37, 38, 39, 40, 41 Sector-25, Kamothe, Navi Mumbai by M/s Sarkari Nokar Sahakari Malki Gruha Nirman Sanstha Maryadit",MAHARASHTRA,SARKARI NOKAR SAHAKARI MALKI GRUHA NIRMAN SANSTHA MARYADIT,Category: B1 Sector: INFRA-2 Date of Submission: 29/01/2026,SEIAA,Under Verification,The proposed project is a Residential cum Commercial project is located in the jurisdiction of PMC. The Total construction area for the project is 217482.840 sq.m (FSI area- 146409.120 sq.m + Non FSI- 71073.720 sq.m)
198,SIA/MH/MIN/566954/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273548/2026,"Application of Transfer of Environmental Clearance Ghada Sand Ghat Proposal of Ghada Sand Ghat Tq. Daryapur Dist. Amravati,Nearest Gut no 3,4,5,174 To 175 , Area-1.00 Ha from District Mining Officer, Amaravati to Mr. Shaikh Anis Shaikh Jamil",MAHARASHTRA,Shaikh Anis Shaikh Jamil,Category: B2 Sector: Non-Coal Mining Date of Submission: 27/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Ghada Sand Ghat
199,SIA/MH/MIN/566722/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273339/2026,Environmental clearance for proposed river bed sand mining having leases area 4.83 Ha. Kaneri - 1 sand ghat on Wainganga river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 4.83 Ha. Kaneri - 1 sand ghat on Wainganga river.
200,IA/MH/IND3/566272/2026,Clearance Type: Application for No Increase in Pollution Load - Form-10 S/W No.: SW/272638/2026,M/s JPN Industries LLP (CIPM APPLICATION),MAHARASHTRA,JPN INDUSTRIES LLP,Category: A Sector: Date of Submission: 21/01/2026,MOEFCC,INTIMATED,Synthetic Organic Chemical Industry
201,SIA/MH/INFRA2/564631/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271562/2026","Proposed Residential Project Located at Survey. No. 257/2/1 (P), 257/2/2B, at Mauze Bhugaon, Taluka Mulshi. District Pune, Maharashtra by M/s. Aura Ventures through partner Mr. Prashant Rameshchandra Samdani",MAHARASHTRA,aura ventures,Category: B2 Sector: INFRA-2 Date of Submission: 09/01/2026,SEIAA,ADS Raised,Building Construction Project
202,SIA/MH/MIN/563939/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270929/2026,"Environmental Clearance for the Sand spot Ajansond-Mundhewadi over Bhima river located at gut no. Ajansond-118 Pai, 230,228,222,226,225,224,220,218pai,212,213,214,204,203,200,199,198,197,196,195,194,193,190,189,187,183,181,180,177,Mundhewadi-61to74,76to80",MAHARASHTRA,neelima yashwant jadhav,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,EC Granted,"Environmental Clearance for the Sand spot Ajansond-Mundhewadi over Bhima river located at gut no. Ajansond-118 Pai, 230,228,222,226,225,224,220,218pai, 212,213,214,204,203,200,199,198,197,196,195,194,193, 190,189,187,183,181,180,177,Mundhewadi-61to74,76to80"
203,SIA/MH/INFRA2/562087/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269296/2025","Proposed Residential & Commercial Development at S. No. 97/1, Wakad, Taluka - Mulshi, Dist. - Pune by Mr. Uttam Tabaji Vinode",MAHARASHTRA,Uttam Tabaji Vinode,Category: B2 Sector: INFRA-2 Date of Submission: 14/01/2026,SEIAA,Referred to SEAC,Building and Construction Project
204,SIA/MH/MIN/565703/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272432/2026,"Transfer of Environmental Clearance Nilaj Khu Sand Ghat over an extent of 3.91 ha. At Wainganga River Bed Adjoining Gut No. 220, 221, Village Nilaj Khu, Tehsil Mohadi, District Bhandara, Maharashtra, by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 15/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Nilaj Khu Sand Ghat over an extent of 3.91 ha. At Wainganga River Bed Adjoining Gut No. 220, 221, Village Nilaj Khu, Tehsil Mohadi, District Bhandara, Maharashtra, by M/s. Anoj kumar Agarwala"
205,SIA/MH/INFRA2/565278/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272067/2026","Proposed Residential & Commercial project at Gat No. 190(P), Village- Bhukum, Tal- Mulshi, Pune by Mr. Ajit Shashikant Ingawale & Other 2 through POA/DAPA holder Mr. Abhishek Dinesh Patel",MAHARASHTRA,ABHISHEK DINESH PATEL,Category: B2 Sector: INFRA-2 Date of Submission: 13/01/2026,SEIAA,Under Verification,Proposed Residential & Commercial project
206,SIA/MH/INFRA2/565486/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272138/2026",INTEGRATION OF PARALLEL RUNWAY STRIP WITH EXISTING RUNWAY STRIP AT EXISTING NASHIK AIRPORT,MAHARASHTRA,RAMESH CHANDRA DODVE,Category: B1 Sector: INFRA-2 Date of Submission: 14/01/2026,SEIAA,Standard ToR Granted,"Hindustan Aeronautics Limited (HAL) has proposed the “Integration of Parallel Runway to the Existing Runway” at Nashik Airport, Maharashtra. The existing airfield currently has a 3,000 m × 45 m runway with orientation 09/27, used jointly for both defence and civil aviation operations. To meet projected traffic growth and to segregate civil operations from defence movements, HAL proposes to construct a new 3,000 m × 45 m runway with 7.5 m wide shoulders on either side, parallel to the existing ru"
207,SIA/MH/INFRA2/568251/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274765/2026","Proposed Residential and Commercial Project "" President Park"" by Sindhu Developers.",MAHARASHTRA,SINDHU DEVELOPERS,Category: B2 Sector: INFRA-2 Date of Submission: 06/02/2026,SEIAA,Under Verification,This is a Building Construction project.
208,SIA/MH/MIN/564852/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271751/2026,"Transfer of EC of Khandala Sand Ghat over an extent of 2.0 ha. at Chulbandh River Bed, Adjoining Gut No. 58, 59, 54, 41 Village Khandala, Tehsil Sakoli, District Bhandara,Qty-7067 Brass,in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal",MAHARASHTRA,A B CARRIERS DYNAMICS PRIVATE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EC Granted,"Transfer of EC of Khandala Sand Ghat over an extent of 2.0 ha. at Chulbandh River Bed, Adjoining Gut No. 58, 59, 54, 41 Village Khandala, Tehsil Sakoli, District Bhandara,Qty-7067 Brass,in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal"
209,SIA/MH/MIN/564062/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271052/2026,"Transfer of Environmental Clearance of Chamgaon Sand Ghat, Jalgaon from Rupali Shankar Kale to Asha Construction",MAHARASHTRA,ASHA CONSTRUCTION,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,"Application for Transfer of EC of Chamgaon Sand Ghat, located at Gut no. 24 to 28, Village – Chamgaon, Taluka - Dharangaon, District - Jalgaon, Maharashtra from Rupali Shankar kale to Asha Construction"
210,SIA/MH/INFRA2/567123/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273690/2026","Proposed Residential and Commercial Project Located at S. No. 6/1, Plot No. 17 at Dhanori, Taluka- Haveli, District-Pune, Maharashtra by M/s. PRIMA AVN INFRACON LLP",MAHARASHTRA,PRIMA AVN INFRACON LLP,Category: B2 Sector: INFRA-2 Date of Submission: 30/01/2026,SEIAA,Under Verification,Building and Construction Project
211,SIA/MH/INFRA2/564849/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271742/2026","Proposed Residential Cum Commercial project of housing for EWS/LIG on Plot B. S.NO. 1/5, 2/2, 3/3, 4/1, 113/1, 123, 126,124/1 (pt) at village Dhamtan, Tehsil: Kalyan, Dist: Thane, State: Maharashtra. By M/s Priti Mardia & Others",MAHARASHTRA,PRITI SUNIL MARDIA,Category: B1 Sector: INFRA-2 Date of Submission: 12/01/2026,SEIAA,Standard ToR Granted,It is Residential Cum Commercial Project of housing for EWS/LIG
212,SIA/MH/INFRA2/564606/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/256193/2025","Affordable Residential Development of PAP for MCGM at Plot bearing CTS No. 1289/A, 1289/B, 1289/C, 1289/E, 1289/F, 1289/G, 1289/H, 1289/I, 1289/N, 1289/P, 1295/A, 1295/D Village: Mulund (E), Taluka: Kurla, District: Mumbai, Maharashtra by M/s. East Pune Realty LLP.",MAHARASHTRA,EAST PUNE REALTY LLP,Category: B1 Sector: INFRA-2 Date of Submission: 07/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,Affordable Residential development of PAP for MCGM
213,SIA/MH/MIN/563414/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270485/2025,"Environmental Clearance for the Kudal sand Spot over Bhima river located at Gut no. 72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89 & 90 Old Gut No-27,28,32,33,36 & 37 Village- Kudal, Taluka- Akkalkot, District: Solapur",MAHARASHTRA,DIVYA VERMA,Category: B2 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Proposal pulled back (withdrawn),"Environmental Clearance for the Kudal sand Spot over Bhima river located at Gut no. 72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89 & 90 Old Gut No-27,28,32,33,36 & 37 Village- Kudal, Taluka- Akkalkot, District: Solapur"
214,SIA/MH/MIN/564821/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271720/2026,"Environmental Clearance for the Wathar Budruk Sand Spot on Nira river located at gut no. 81,82,84,85,86 & 87 of Village-Wathar Bu., Taluka- Khandala, and District: Satara",MAHARASHTRA,minakshi ajit bhor,Category: B2 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,Referred to SEIAA,"Environmental Clearance for the Wathar Budruk Sand Spot on Nira river located at gut no. 81,82,84,85,86 & 87 of Village-Wathar Bu., Taluka- Khandala, and District: Satara"
215,SIA/MH/MIN/564639/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271576/2026,"Transfer of Environment Clearance for Walani 2 Sand Ghat over an extent of 4.50 ha. at Wainganga River Bed Adjoining Gut No. 815, 816, 814, Village Walani, Tehsil Pauni, District Bhandara, Maharashtra to M/s R Sandesh Infravision Pvt Ltd.",MAHARASHTRA,ruchir kumar agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,This is River Bed Sand mining project
216,SIA/MH/MIN/565827/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/272539/2026,"Stone Quarry proposal of Mr. Jayantilal Tejabhai Butani ,Vill. Hirdi,Tq. Kalamb,Dist. Yavatmal Gut No.14/3, ,Area-1.99 Ha",MAHARASHTRA,PROJECT PROPONENT,Category: B2 Sector: Non-Coal Mining Date of Submission: 28/01/2026,SEIAA,Under Verification,"Stone Quarry proposal of Mr. Jayantilal Tejabhai Butani ,Vill. Hirdi,Tq. Kalamb,Dist. Yavatmal Gut No.14/3, ,Area-1.99 Ha"
217,SIA/MH/MIN/565310/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272115/2026,"Transfer of EC of Chikna B Sand Ghat, Kanhan River, Tq. Kamthi, Dist. Nagpur, Nearest Gut No. 9,10,11, Area-3.20 Ha, Qty-9046 Brass in the name of M/s Saicon Construction & Infra L.L.P. through Mr. Yogiraj Bhagwanrao Shinde",MAHARASHTRA,SAICON CONSTRUCTIONS & INFRA LLP,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,Proposal pulled back (withdrawn),"Transfer of EC of Chikna B Sand Ghat, Kanhan River, Tq. Kamthi, Dist. Nagpur, Nearest Gut No. 9,10,11, Area-3.20 Ha, Qty-9046 Brass in the name of M/s Saicon Construction & Infra L.L.P. through Mr. Yogiraj Bhagwanrao Shinde"
218,SIA/MH/MIN/564032/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271032/2026,"Transfer of EC of Waksur Sand Ghat, Vana river , Vill. Waksur, Tq. Samudrapur Dist. Wardha, Nearest Gut No. 101/1, 95, 102, 117/1, 118, 119, 120, 121, Area-1.50 Ha, Qty-5300 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia",MAHARASHTRA,CHOURASIA CoNSTRUCTION CO,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/01/2026,SEIAA,EC Granted,"Transfer of EC of Waksur Sand Ghat, Vana river , Vill. Waksur, Tq. Samudrapur Dist. Wardha, Nearest Gut No. 101/1, 95, 102, 117/1, 118, 119, 120, 121, Area-1.50 Ha, Qty-5300 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia"
219,SIA/MH/INFRA2/566159/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272837/2026","Proposed Redevelopment under regulation (20)(B) of MCGM DCPR 2034 of Monarch CHS Ltd. on plot bearing C.T.S No.482,484,485,486,487,489A,491A of Village Kondivita, at J.B Nagar road, Andheri (East) Mumbai.by M/s. Proptique Venture LLP. C.A to Owner",MAHARASHTRA,Proptique Ventures llp,Category: B2 Sector: INFRA-2 Date of Submission: 22/01/2026,SEIAA,Referred to SEAC,This is Redevelopment project under regulation 33 (20)(B) of MCGM DCPR 2034
220,SIA/MH/MIN/565219/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272044/2026,"Transfer of EC of Ismilepur Sand Ghat, Wardha river , Vill. Ismilepur, Tq. Ashti Dist. Wardha, Nearest Gut No. 13,15, Area-1.08 Ha, Qty-1913 Brass in the name of M/s A. B. Carriers ,Prop. Mr. Abhishekh Bhasin",MAHARASHTRA,ABHISHEK BHASIN,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,EC Granted,"Transfer of EC of Ismilepur Sand Ghat, Wardha river , Vill. Ismilepur, Tq. Ashti Dist. Wardha, Nearest Gut No. 13,15, Area-1.08 Ha, Qty-1913 Brass in the name of M/s A. B. Carriers ,Prop. Mr. Abhishekh Bhasin"
221,SIA/MH/MIN/565852/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272568/2026,"Transfer of Environmental Clearance Chargaon Sand Ghat over an extent of 4.03 ha. At Wainganga River Bed Adjoining Gut No. 10, 11, 16, 17, Village Chargaon, Tehsil Tumsar, District Bhandara, Maharashtra. by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Chargaon Sand Ghat over an extent of 4.03 ha. At Wainganga River Bed Adjoining Gut No. 10, 11, 16, 17, Village Chargaon, Tehsil Tumsar, District Bhandara, Maharashtra. by M/s. Anoj kumar Agarwala"
222,SIA/MH/MIN/564077/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271071/2026,"Environmental Clearance for the Ghodeshwar Tamdardi Sand Spot 2 over Bhima river located at Gut no. 108,107,105 & 104 Part of Ghodeshwar Village Taluka- Mohol & Gut No. 16 to 20 Part of Tamdardi Village Taluka-Mangalwedha, District: Solapur,",MAHARASHTRA,neelima yashwant jadhav,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,EC Granted,"Environmental Clearance for the Ghodeshwar Tamdardi Sand Spot 2 over Bhima river located at Gut no. 108,107,105 & 104 Part of Ghodeshwar Village Taluka- Mohol & Gut No. 16 to 20 Part of Tamdardi Village Taluka-Mangalwedha, District: Solapur,"
223,SIA/MH/MIN/564488/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271443/2026,"Transfer of EC of Sand Ghat at Lakhapuri-2,River Purna , Vill Lakhapuri Tq. Murtizapur Dist. Akola Nearest Gut no 2,3,8,16,17, Area-1.00 Ha, Qty-2125 Brass, in the name of Mr. Sagar Dipak Mahajan",MAHARASHTRA,SAGAR DIPAK MAHAJAN,Category: B2 Sector: Non-Coal Mining Date of Submission: 06/01/2026,SEIAA,EC Granted,"Transfer of EC of Sand Ghat at Lakhapuri-2,River Purna , Vill Lakhapuri Tq. Murtizapur Dist. Akola Nearest Gut no 2,3,8,16,17, Area-1.00 Ha, Qty-2125 Brass, in the name of Mr. Sagar Dipak Mahajan"
224,SIA/MH/INFRA2/564439/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271399/2026,"Residential Township Development at Village Hedutane, Antarli, Khoni, Kole and Umbroli, Mangaon, Gharivali, Katai, Taluka: Kalyan, District: Thane, Maharashtra, India",MAHARASHTRA,LODHA DEVELOPERS LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 06/01/2026,SEIAA,Referred to SEIAA,Residential and commercial development project
225,SIA/MH/INFRA2/567894/2026,Clearance Type: Application for Corrigendum Form-13 S/W No.: SW/260895/2025,"Environmental Clearance for Proposed Residential and Commercial project at Sr. no. 84/17, 84/18, 84/19, 84/20A, 84/20B, 84/21, 84/22, 84/23, 84/24, 84/25, 84/26, CTS NO. 1246, 1266, 1267, 1269, 1270 (P), At - Mundhawa, Tal – Pune City by Godrej Properties Limited",MAHARASHTRA,Ankit Malviya,Category: B2 Sector: INFRA-2 Date of Submission: 04/02/2026,SEIAA,Under Verification,Expansion in Proposed Residential and Commercial project
226,SIA/MH/MIN/561744/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/268971/2025,"EC Transfer of Mahuli-B Sand Ghat, Area 1.20 ha, Gut. no. 20 & 21 Village Mahuli-B, Tehsil JALGAON JAMOD, District Buldhana Maharashtra by Shri. PARIKSHIT NIVRUTTI THAKARE.",MAHARASHTRA,PARIKSHIT NIVRUTTI THAKARE,Category: B2 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,EC Granted,"EC Transfer of Mahuli-B Sand Ghat, Area 1.20 ha, Gut. no. 20 & 21 Village Mahuli-B, Tehsil JALGAON JAMOD, District Buldhana Maharashtra by Shri. PARIKSHIT NIVRUTTI THAKARE."
227,SIA/MH/INFRA2/564646/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271578/2026","Proposed Amendment & Expansion of Slum Rehabilitation Scheme on plot bearing CTS No. - A/791 (part) of Village Bandra (West), Nargis Dutt Nagar, K.C Marg, Bandra (West) for “Bandra Reclamation SRA CHS (Ltd)” (constituted of Nargis Dutt Nagar & Indira Nagar Hangami) by M/s. Roshni Developers & Realtors Private Limited (formerly known as Roshni Developers Private Limited).)",MAHARASHTRA,roshni developers & realtors private limited,Category: B1 Sector: INFRA-2 Date of Submission: 19/01/2026,SEIAA,Standard ToR Granted,"The project is an Amendment & Expansion of S.R. Scheme at Bandra (West). The project had received previous EC dated February 20, 2020 for a Total Construction Area of 1,66,081.17 sq.m. (Proposal appraised for TCA of 2,64,725.06 sq.m.) and comprised of Rehab Building 1 & 2 and Sale Tower (1 & 2). Now Amendment is proposed in the form of reduction in basements in Rehab and Addition of basement & reduction of upper floors in Sale. Expansion is proposed in the form of increase in Rehab tenements and"
228,SIA/MH/INFRA2/562336/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269517/2025","Environment Clearance for Proposed ""Residential & Commercial"" project on Plot No. bearing CTS NO. 1406-A/14 of Village Malad(South) at Malad (West) By Radhakrishna Properties Pvt. Ltd.",MAHARASHTRA,RADHAKRISHNA PROPERTIES PRIVATE LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 08/01/2026,SEIAA,Standard ToR Granted,Proposed project is Residential & Commercial project.
229,SIA/MH/IND3/563874/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/270691/2025,Transfer of Environmental Clearance of Proposed Capacity Enhancement of Synthetic Organic Chemicals Manufacturing Unit atc from of M/s Ashok Surfactants Pvt. Ltd to M/s Indo Speciality Chemical Private Limited,MAHARASHTRA,INDO SPECIALITY CHEMICALS PRIVATE LTD,Category: B1 Sector: Industrial Projects - 3 Date of Submission: 28/01/2026,SEIAA,Pending at MS SEIAA,Synthetic Organic Chemicals Manufacturing Unit
230,IA/MH/IND3/551578/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/245566/2025","Proposed Expansion of Synthetic Resin Manufacturing Unit with a Total Capacity of 2,500 TPM",MAHARASHTRA,mechemco Industries,Category: A Sector: Industrial Projects - 3 Date of Submission: 05/02/2026,MOEFCC,Under Examination,"The company M/s. Mechemco Industries has existing Synthetic resin (by Mixing and Blending) production plant of 500 MT/M capacity at Plot No. A-37/1/1, A-37/1/2, A-37/2/1, MIDC Patalganga Industrial Area, Kaire Village, Khalapur, Panvel 410207 Maharashtra, India. The proposed land (area 3000 m2) which is already under possession is non-agricultural one and is located in industrial belt with good infrastructure. Now, industry proposed additional product Unsaturated polyester Resin and Vinyl Ester "
