S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
103,SIA/MH/MIN/564958/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271831/2026,"Transfer of EC of Tembhari Sand Ghat over an extent of 4.50 ha. at Wainganga River Bed Adjoining Gut No. 13, 15, 14,1/1, Village Tembhari, Tehsil Lakhandur, District Bhandara ,Qty-23852 Brass, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal",MAHARASHTRA,A B CARRIERS DYNAMICS PRIVATE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EC Granted,"Transfer of EC of Tembhari Sand Ghat over an extent of 4.50 ha. at Wainganga River Bed Adjoining Gut No. 13, 15, 14,1/1, Village Tembhari, Tehsil Lakhandur, District Bhandara ,Qty-23852 Brass, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal"
104,SIA/MH/INFRA2/567468/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273998/2026,"Proposed Residential cum Commercial development at C. S. No. 1913 of Byculla Division Building situated at Maulana Azad Road, Mumbai-400007",MAHARASHTRA,LODHA DEVELOPERS LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 31/01/2026,SEIAA,Under Verification,Residential cum commercial development project
105,SIA/MH/INFRA2/565498/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272160/2026","Slum Rehabilitation Scheme “Shiv Sai SRA CHS Ltd” at Plot bearing C.T.S No. 160/A/1 (Pt) & 172 of Village Majas and 368/A(Pt.) & 368/3(pt.) of Village Mogra, Sher-E-Punjab, Mahakali Road, Andheri, Mumbai",MAHARASHTRA,AARC REAL ESTATE DEVELOPERS PRIVATE LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 14/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,Slum Rehabilitation Scheme
106,SIA/MH/INFRA2/564697/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271508/2026","Environment Clearance for proposed slum rehabilitation scheme under reg. 33(10) on plot bearing CTS No. 128/A/7, 128/A/8A(Pt.) &128A/9 of Village Kandivali, Taluka Borivali Bunder Pakhadi Road, Kandivali (West), Mumbai-67, For Shiv Samrat SRA CHS (Prop.), Jijasai SRA CHS (Prop.) by M/S. Conwood Agencies Pvt. Ltd.",MAHARASHTRA,Conwood agencies private limited,Category: B2 Sector: INFRA-2 Date of Submission: 09/01/2026,SEIAA,Under Verification,Proposed project consists of 2 residential buildings and 1 parking building. Configuration of the same is as follows: Sale Building No 1: 3 Basement (Parking) + Ground (part parking) + 1st to 8th Podium for parking + 9th Deck Floor (amenities) + Service Floor + 1st to 38th Upper residential Floors (154.40 m) Rehab Building No 1: Basement (for services) + Ground (Shops) + 1st to 38th Upper residential Floors (113.55 m) Mechanical Parking Tower - up to 56.15 m
107,IA/MH/RIV/566106/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/228558/2025,Saidongar 1 - Karjat Pumped Storage Project,MAHARASHTRA,TORRENT ENERGY STORAGE SOLUTIONS PRIVATE LIMITED,Category: A Sector: River Valley and Hydroelectric Projects Date of Submission: 04/02/2026,MOEFCC,Under Processing with Authority,"The proposed layout will have an installed capacity of 3000 MW, which comprises of a Deep-Seated Surface powerhouse accommodating 9 units of 300 MW and 2 units of 150 MW. This layout is planned to utilize the available head between the upper reservoir and lower reservoir at an elevation of El. 678.00 m (at FRL) and El. 166.00 m (at FRL) respectively.The reservoirs are interconnected through five individual water conductor systems, and the generator-motor and pump-turbines are installed at the un"
108,SIA/MH/INFRA2/566232/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272822/2026","Proposed Construction Project at Tathawade, Pune by M/s SMP Namrata Lotus Landmarks LLP",MAHARASHTRA,SMP namrata lotus landmarks llp,Category: B1 Sector: INFRA-2 Date of Submission: 21/01/2026,SEIAA,Standard ToR Granted,"This is a fresh EC application located at Survey No. 168/3 , Village - Tathawade, Taluka -Mulshi, District - Pune, State - Maharashtra. 411033"
109,SIA/MH/MIN/564722/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271648/2026,"Transfer of Environment Clearance for Bhojapur Sand Ghat over an extent of 4.9 ha at Wainganga River Bed Adjoining Gut No. 222, 226, 227, 230, 231, 232, 245, Village Bhojapur, Tehsil Pauni, District Bhandara, Maharashtra to M/s R Sandesh Infravision Pvt Ltd.",MAHARASHTRA,ruchir kumar agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,This is River Bed Sand mining project
110,SIA/MH/MIN/566864/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273458/2026,"Application of Transfer of Environmental Clearance Bembla Bu. Sand Ghat Proposal of Bembla Bu. Sand Ghat Tq. Daryapur Dist. Amravati, Nearest Gat no. 2,4,5,8,9,262,263, Area-1.04 Ha from District Mining Officer, Amaravati to M/s- Saudagar Building Material tarfe Mr. Mohammad Rafique Mohmmad Yusuf",MAHARASHTRA,Mohammad Rafique mohammad Yusuf Saudagar,Category: B2 Sector: Non-Coal Mining Date of Submission: 27/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Bembla Bu. Sand Ghat
111,SIA/MH/MIN/566218/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272887/2026,"EC Transfer of Deolgaon Sand Ghat, Area 1.06 ha, Gut. 11 to 28 Village Deolgaon, Tehsil Sangrampur, District Buldhana Maharashtra by Shri. Shubham Sanjay Jaiswal (Jaiswal & Sons Shegaon)",MAHARASHTRA,shubham sanjay jaiswal,Category: B2 Sector: Non-Coal Mining Date of Submission: 20/01/2026,SEIAA,EC Granted,"EC Transfer of Deolgaon Sand Ghat, Area 1.06 ha, Gut. 11 to 28 Village Deolgaon, Tehsil Sangrampur, District Buldhana Maharashtra by Shri. Shubham Sanjay Jaiswal (Jaiswal & Sons Shegaon)"
112,SIA/MH/MIN/567853/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/274431/2026,"Transfer of EC of Hiwara Ka.-1 Sand Ghat Tq. Deoli Dist. Wardha, Nearest Gut no 27, 28, 29, 30, 31, 32, Area-1.50 Ha, Qty-5300 Brass by M/s CHOURASIA CONSTRUCTION CO.",MAHARASHTRA,CHOURASIA CoNSTRUCTION CO,Category: B2 Sector: Non-Coal Mining Date of Submission: 03/02/2026,SEIAA,Pending at MS SEIAA,"Transfer of EC of Hiwara Ka.-1 Sand Ghat Tq. Deoli Dist. Wardha, Nearest Gut no 27, 28, 29, 30, 31, 32, Area-1.50 Ha, Qty-5300 Brass by M/s CHOURASIA CONSTRUCTION CO."
113,SIA/MH/INFRA2/566142/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272719/2026","Expansion in EC of Proposed Residential cum Commercial – Bhoomi Serenity project at Plot No. 4, Sector 37, Kharghar, Navi Mumbai by M/s. Gajra Home Builders Pvt Ltd",MAHARASHTRA,GAJRA HOME BUILDERS PRIVATE LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 20/01/2026,SEIAA,Under Verification,"This is a residential and commercial project situated at Kharghar, Navi Mumbai. The project has received EC vide letter no. EC24B038MH121280 dtd 02.02.2024 for total construction area of 40,392.00 sq.m"
114,SIA/MH/MIN/563990/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/270991/2026,"Transfer of EC of Sati-1 Sand Ghat, Wardha river , Vill. Sati,Tq. Hinganghat Dist. Wardha, Nearest Gut No. 95/3, 95/2, 95/5, 95/6,Area-1.00 Ha, Qty-2120 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia",MAHARASHTRA,CHOURASIA CoNSTRUCTION CO,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/01/2026,SEIAA,EC Granted,"Transfer of EC of Sati-1 Sand Ghat, Wardha river , Vill. Sati,Tq. Hinganghat Dist. Wardha, Nearest Gut No. 95/3, 95/2, 95/5, 95/6,Area-1.00 Ha, Qty-2120 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia"
115,SIA/MH/INFRA2/563737/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270765/2025","Application for EC for proposed Residential cum Commercial Project under SRA scheme on property bearing C. S. Nos. 345 & 1/345 of Dharavi Division, Village Dharavi, in G North Ward, Mumbai by M/s Kay Bee Infrastructure.",MAHARASHTRA,Kaybee infrastructure,Category: B2 Sector: INFRA-2 Date of Submission: 10/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,Building construction project
116,SIA/MH/MIN/567371/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273918/2026,"Transfer of Environmental Clearance of Kanhegaon Sand Ghat, Hingoli from District mining officer, Hingoli to Patil Sidheshwar Bhagwan",MAHARASHTRA,patil sidheshwar bhagwan,Category: B2 Sector: Non-Coal Mining Date of Submission: 30/01/2026,SEIAA,Referred to SEIAA,"Application for Transfer of EC for Kanhegaon Sand Ghat at Gat No. 6, 25, 26, 27, 31 at Village - Kanhegaon, Tehsil - Kalamnuri, District - Hingoli."
117,SIA/MH/MIN/567863/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/274442/2026,"Transfer of EC of Apti-1 Sand Ghat Tq. Deoli Dist. Wardha Nearest Gut no 6, Area-1.05 Ha, Qty-1855 Brass, by M/s CHOURASIA CONSTRUCTION CO.",MAHARASHTRA,CHOURASIA CoNSTRUCTION CO,Category: B2 Sector: Non-Coal Mining Date of Submission: 03/02/2026,SEIAA,Pending at MS SEIAA,"Transfer of EC of Apti-1 Sand Ghat Tq. Deoli Dist. Wardha Nearest Gut no 6, Area-1.05 Ha, Qty-1855 Brass, by M/s CHOURASIA CONSTRUCTION CO."
118,SIA/MH/MIN/565841/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272557/2026,"Transfer of Environmental Clearance Sondya 2 Sand Ghat over an extent of 4.60 ha. At Bawanthadi River Bed Adjoining Gut No. 171, 172, 173, Village Sondya, Tehsil Tumsar, District Bhandara, Maharashtra. by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Sondya 2 Sand Ghat over an extent of 4.60 ha. At Bawanthadi River Bed Adjoining Gut No. 171, 172, 173, Village Sondya, Tehsil Tumsar, District Bhandara, Maharashtra. by M/s. Anoj kumar Agarwala"
119,SIA/MH/INFRA2/566380/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/266200/2025","Environmental clearance for Redevelopment of Motilal Nagar 1 Layout at Plot bearing CTS no. 2 to 17, 19, & 20 of village Goregaon, 223 to 234, 241 to 248, 249A & 249B, 250 to 259, 261 to 263, 266 of village Pahadi Goregaon, Mumbai Maharashtra by M/s. Estatevue Developers Private Limited",MAHARASHTRA,ESTATEVUE DEVELOPERS PRIVATE LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 23/01/2026,SEIAA,Under Verification,The proposed project is Redevelopment of Motilal Nagar MN 1
